feature,mean_importance,std_importance
edited_scans.0,0.11505886078198072,0.0013129746604677954
job.jobParameters.mc_iterations.@attributes.value,0.11075505891916215,0.0005886695535298297
job.jobParameters.s_grid_points.@attributes.value,0.10474571461339424,0.0035685529457958726
wallTime,0.08531024894424925,0.0012622439077047904
max_rss,0.0850285270945106,0.0029083470237694048
job.jobParameters.uniform_grid.@attributes.value,0.06944986794193028,0.002940799547280574
edited_radial_points.0,0.06823954283812099,0.002091743892842607
job.jobParameters.meniscus_points.@attributes.value,0.05791456813818021,0.0015263475753139223
job.jobParameters.max_iterations.@attributes.value,0.05355122218257289,0.0019425150416523666
job.cluster.@attributes.name,0.04236532315592769,0.001482996683072672
job.jobParameters.s_max.@attributes.value,0.036852523497406364,0.0016082109484693568
job.jobParameters.ff0_grid_points.@attributes.value,0.03062145887111038,0.0025332238597252136
job.jobParameters.s_min.@attributes.value,0.025227217947522994,0.0009657511774224426
job.jobParameters.meniscus_range.@attributes.value,0.023943483516100855,0.001110155984250129
job.jobParameters.s_resolution.@attributes.value,0.021806905495736544,0.002555784171744011
CPUCount,0.020722756890910122,0.0013795986089585308
job.jobParameters.ff0_max.@attributes.value,0.01718742216867863,0.001416661119304924
simpoints.0,0.014712440105269573,0.0005645337138546538
job.jobParameters.ff0_resolution.@attributes.value,0.009333502375795982,0.0011796156655268387
job.jobParameters.ff0_min.@attributes.value,0.00297282013968887,0.0003212837697795748
job.jobParameters.rinoise_option.@attributes.value,0.0025264910374096093,6.83489573151095e-05
job.jobParameters.tinoise_option.@attributes.value,0.0016740433437341846,0.0003546615666450507
job.jobParameters.req_mgroupcount.@attributes.value,6.069131129450271e-13,8.282433084579413e-13
