feature,mean_importance,std_importance
job.jobParameters.curves_points.@attributes.value,0.37485099700590796,0.0017025779114270786
job.jobParameters.rinoise_option.@attributes.value,0.18230298397485445,0.0018980671535316733
wallTime,0.09592736544769055,0.002281391640131301
edited_scans.0,0.09527592872721721,0.0018073210123563522
job.jobParameters.curve_type.@attributes.value,0.0798830466675818,0.0012053321697530223
job.jobParameters.gfit_iterations.@attributes.value,0.054720370974165565,0.00125557082098631
max_rss,0.036597817085727354,0.001256056226121052
edited_radial_points.0,0.018199843062300436,0.0009387577088809443
job.jobParameters.x_max.@attributes.value,0.014956906396919148,0.0005390480620270974
job.cluster.@attributes.name,0.01286224222804761,0.000605668067837734
job.jobParameters.y_max.@attributes.value,0.008239033512487594,0.0007980006137069012
job.jobParameters.z_value.@attributes.value,0.007315836993601513,0.0004727392104285766
job.jobParameters.tinoise_option.@attributes.value,0.0034044060595953734,0.0013934781355293359
job.jobParameters.y_min.@attributes.value,0.002871323574532498,0.0007896255049251561
job.jobParameters.mc_iterations.@attributes.value,0.002464875960062067,0.00041558413595996696
job.jobParameters.vars_count.@attributes.value,0.0022445121337455057,0.00010742020760750508
job.jobParameters.x_min.@attributes.value,0.0019424213180404277,0.00015851437137089387
CPUCount,0.0018157293322974455,0.00018192284774181332
job.jobParameters.thr_deltr_ratio.@attributes.value,0.001475954498183674,0.00010695192147289087
job.jobParameters.solute_type.@attributes.value,0.0013122954482478924,0.00020776829432782938
job.jobParameters.tikreg_option.@attributes.value,0.0011771311888150665,5.5193873208008096e-05
simpoints.0,8.832562003938035e-05,2.313815595030942e-05
job.jobParameters.tikreg_alpha.@attributes.value,6.194619876623534e-05,1.005015524091335e-05
job.jobParameters.ff0_max.@attributes.value,2.7848361082419394e-06,7.824024051686625e-07
job.jobParameters.ff0_min.@attributes.value,2.236118501825406e-06,1.4717764624254265e-06
job.jobParameters.s_max.@attributes.value,2.0006628589080815e-06,7.92628568723693e-07
job.jobParameters.s_min.@attributes.value,1.6849737042568467e-06,8.529239235058124e-07
