feature,mean_importance,std_importance,selection_frequency,mean_execution_time
job.jobParameters.uniform_grid.@attributes.value,0.15682575,0.0254513,100.0,10.574537080128987
job.jobParameters.s_grid_points.@attributes.value,0.10770674,0.01931117,100.0,10.574537080128987
job.jobParameters.mc_iterations.@attributes.value,0.10479908,0.010293692,100.0,10.574537080128987
job.jobParameters.ff0_resolution.@attributes.value,0.06708609,0.049040385,100.0,10.574537080128987
simpoints.0,0.06109478,0.02617133,100.0,10.574537080128987
job.jobParameters.ff0_min.@attributes.value,0.05575296,0.03898428,100.0,10.574537080128987
job.jobParameters.meniscus_points.@attributes.value,0.05284339,0.009415494,100.0,10.574537080128987
job.jobParameters.s_resolution.@attributes.value,0.04638909,0.011497816,100.0,10.574537080128987
job.jobParameters.meniscus_range.@attributes.value,0.040534247,0.008714445,100.0,10.574537080128987
job.jobParameters.ff0_grid_points.@attributes.value,0.040525775,0.0107179545,100.0,10.574537080128987
edited_scans.0,0.03674636,0.003758716,100.0,10.574537080128987
job.jobParameters.tinoise_option.@attributes.value,0.03082758,0.0063674157,100.0,10.574537080128987
job.cluster.@attributes.name,0.029179838,0.008629581,100.0,10.574537080128987
CPUCount,0.024835326,0.00660302,100.0,10.574537080128987
job.jobParameters.s_max.@attributes.value,0.02274785,0.00296072,100.0,10.574537080128987
edited_radial_points.0,0.022554258,0.0027770975,100.0,10.574537080128987
job.jobParameters.ff0_max.@attributes.value,0.019466706,0.0040389583,100.0,10.574537080128987
job.jobParameters.s_min.@attributes.value,0.018245898,0.0034429552,100.0,10.574537080128987
wallTime,0.01703514,0.0026112846,100.0,10.574537080128987
max_rss,0.016777927,0.0036831924,100.0,10.574537080128987
job.jobParameters.max_iterations.@attributes.value,0.016626693,0.0022140653,100.0,10.574537080128987
job.jobParameters.rinoise_option.@attributes.value,0.011398512,0.0013062737,100.0,10.574537080128987
job.jobParameters.req_mgroupcount.@attributes.value,0.0,0.0,0.0,10.574537080128987
