config_name,architecture,scaler,optimizer,batch_size,activation,dropout_rate,train_mae,val_mae,test_mae,train_max_error,val_max_error,test_max_error,train_error_std,val_error_std,test_error_std,epochs
2DSA_arch__64_32__scaler_standard_opt_adam_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[64, 32]",standard,adam,16,elu,0.3,332.5112902880127,65.05734667330456,190.73357943513275,174696.5869140625,15016.69384765625,148293.673828125,1711.5290708057205,136.7029491781829,1318.9626014787884,29
2DSA_arch__64_32__scaler_standard_opt_sgd_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[64, 32]",standard,sgd,16,relu,0.2,338.6918604121006,59.57962857922079,191.43955629582416,176200.39868164062,16468.312744140625,155534.87915039062,1772.3051758121303,146.9291657191988,1403.6830122043016,30
2DSA_arch__64_32__scaler_minmax_opt_adam_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[64, 32]",minmax,adam,16,elu,0.3,345.27641554536086,63.80837531636368,191.5917730750536,176540.55529785156,16330.845947265623,156301.72485351562,1778.5231476044528,151.10015714941878,1410.1912726675805,26
2DSA_arch__64_32__scaler_minmax_opt_rmsprop_batch_64_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[64, 32]",minmax,rmsprop,64,relu,0.3,355.5604892801671,58.62700310462412,187.1200523277164,176928.77172851562,17144.210083007812,157807.5421142578,1814.279814862817,144.64179783125593,1442.4262686797442,26
2DSA_arch__64_32__scaler_minmax_opt_sgd_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[64, 32]",minmax,sgd,16,relu,0.2,349.0164512744845,51.2707699240927,196.86548704222008,176509.3145751953,16896.91668701172,154524.41259765625,1798.4849522458087,143.54986226265177,1396.37129095085,52
2DSA_arch__64_32__scaler_robust_opt_rmsprop_batch_32_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[64, 32]",robust,rmsprop,32,elu,0.2,347.70002864939715,69.15717942628494,193.77205592464952,176638.9365234375,16791.25732421875,156776.69189453125,1786.6731783054877,143.87272053304514,1418.4163723074137,26
2DSA_arch__64_32__scaler_robust_opt_sgd_batch_32_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[64, 32]",robust,sgd,32,elu,0.2,394.74180657016007,59.47457764769428,196.76640202460868,1667010.375,16431.382080078125,132415.193359375,7263.853187163483,150.48052059930157,1350.875368504163,36
2DSA_arch__128_64__scaler_standard_opt_adam_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[128, 64]",standard,adam,16,relu,0.2,337.6411876716351,62.86285687338941,191.89212923092643,175926.169921875,16583.896606445312,151940.19189453125,1752.980801216972,142.1789012895931,1363.014388562765,26
2DSA_arch__128_64__scaler_standard_opt_sgd_batch_32_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[128, 64]",standard,sgd,32,elu,0.3,316.36617877350864,66.61577851941304,191.6930126350287,174163.83374023438,16058.521240234377,153717.255859375,1679.4358232004408,145.88773736788622,1329.7962430544178,46
2DSA_arch__128_64__scaler_robust_opt_adam_batch_64_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[128, 64]",robust,adam,64,elu,0.3,328.21045537281043,61.08688292535672,186.80747837094165,175039.69213867188,15667.496826171877,151332.27001953125,1730.4538729634353,142.08087930089368,1344.2317265262934,29
