config_name,architecture,scaler,optimizer,batch_size,activation,dropout_rate,train_mae,val_mae,test_mae,train_max_error,val_max_error,test_max_error,train_error_std,val_error_std,test_error_std,epochs
2DSA_arch__64_32__scaler_standard_opt_adam_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[64, 32]",standard,adam,16,elu,0.3,390.1944336563118,100.03879006917742,254.18383570434705,177261.6608581543,16964.69073486328,158337.33587646484,1842.0634667597608,208.1904137464731,1484.0639547312742,26
2DSA_arch__64_32__scaler_standard_opt_rmsprop_batch_64_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[64, 32]",standard,rmsprop,64,relu,0.3,386.5700199993847,100.23113305042844,255.37565921107537,177214.00625610352,16767.558837890625,158473.08587646484,1835.7244645851144,207.2389876565052,1485.3781513329286,27
2DSA_arch__64_32__scaler_standard_opt_sgd_batch_64_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[64, 32]",standard,sgd,64,relu,0.3,381.1551117828545,99.78012399414662,254.34389482247087,177154.0383605957,16586.382202148438,158350.90368652344,1817.348429719283,208.658749275956,1487.1662773023688,36
2DSA_arch__64_32__scaler_minmax_opt_adam_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[64, 32]",minmax,adam,16,relu,0.2,386.8755078401565,99.34721356574676,252.26668145545497,177156.07955932617,15632.661865234377,157920.04400634766,1815.5335147218184,208.24912500881973,1482.464488228565,29
2DSA_arch__64_32__scaler_minmax_opt_rmsprop_batch_64_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[64, 32]",minmax,rmsprop,64,relu,0.3,381.38841216438186,99.48235349609244,256.41681008280403,177257.35638427734,16697.852661132812,158669.99099731445,1819.188913842907,210.45008657747871,1485.2209580561394,38
2DSA_arch__64_32__scaler_minmax_opt_sgd_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[64, 32]",minmax,sgd,16,relu,0.2,395.5902364525112,99.40112993931542,253.2676278607438,524460.5625,16927.198608398438,158261.89923095703,2264.099973716248,212.38019907687743,1485.671398523161,45
2DSA_arch__64_32__scaler_robust_opt_adam_batch_64_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[64, 32]",robust,adam,64,relu,0.3,382.2625313955491,100.0213736809866,259.0702972079258,177225.6741027832,15527.044677734377,158590.33053588867,1820.928229816056,207.0032440542917,1485.0377981388688,32
2DSA_arch__64_32__scaler_robust_opt_rmsprop_batch_64_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[64, 32]",robust,rmsprop,64,relu,0.3,383.16752175752754,99.63077511237778,255.04291388995568,177251.43548583984,15658.152099609377,158581.32962036133,1821.6800511106728,207.29089365021645,1486.3570717363953,40
2DSA_arch__64_32__scaler_robust_opt_sgd_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[64, 32]",robust,sgd,16,relu,0.2,387.8587005191996,99.9485702304114,252.29506970716736,177073.9405517578,16525.960083007812,158350.5665283203,1834.4982804946785,208.3492605748829,1486.4988931691803,47
2DSA_arch__128_64__scaler_standard_opt_rmsprop_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[128, 64]",standard,rmsprop,16,relu,0.2,385.6294194667393,99.62895182271176,253.63053906846648,177322.85159301758,16232.51953125,157869.61950683594,1804.93380690286,208.21524743807603,1479.977139411421,88
2DSA_arch__128_64__scaler_minmax_opt_rmsprop_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[128, 64]",minmax,rmsprop,16,elu,0.3,388.01432287894295,99.6314478620407,253.74796085586223,177114.39547729492,14898.810791015623,156735.251953125,1805.3076168088253,205.9738655067736,1479.3051112680027,36
2DSA_arch__128_64__scaler_robust_opt_adam_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[128, 64]",robust,adam,16,relu,0.2,395.2259886819006,99.29307812133152,254.94764692780169,177253.24932861328,7237.92578125,158355.62310791016,1816.8021044305929,194.3472510068304,1480.62464801977,40
2DSA_arch__128_64__scaler_robust_opt_sgd_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[128, 64]",robust,sgd,16,elu,0.3,476.5633040567207,99.245119729448,250.374607425468,794197.4375,6244.9150390625,158501.00421142578,4541.8043726600245,192.90902381194164,1487.9078893304822,73
2DSA_arch__256_128_64__scaler_standard_opt_sgd_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",standard,sgd,16,relu,0.2,49052.90803814637,99.86149593451022,295.03437350234685,638137166.0,16231.860595703123,157824.34716796875,2290432.0340965744,207.4086696236708,1937.521403962436,52
2DSA_arch__256_128_64__scaler_minmax_opt_rmsprop_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",minmax,rmsprop,16,relu,0.2,393.29931248552026,99.46123152568887,253.5328447746777,177403.98246765137,7691.6416015625,157651.2333984375,1798.0733284351647,198.49927081810864,1482.9850525513218,30
2DSA_arch__256_128_64__scaler_minmax_opt_sgd_batch_32_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",minmax,sgd,32,elu,0.2,383.17665517679,99.52927850434952,254.28325056961768,177268.95358276367,16691.724609375,158433.30432128906,1816.3123259989327,211.3079959708391,1486.4977377580285,35
2DSA_arch__256_128_64__scaler_robust_opt_adam_batch_32_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",robust,adam,32,elu,0.2,380.66647674146,99.42896843631974,256.03513657666025,177174.98223876953,16160.257202148438,158253.98571777344,1795.8176668363544,209.29266416627243,1483.7381017069015,36
2DSA_arch__256_128_64__scaler_robust_opt_rmsprop_batch_32_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",robust,rmsprop,32,elu,0.2,381.1457657753666,100.1842794742805,255.550719896638,177236.27529907227,16586.826049804688,158393.71466064453,1802.477690774616,207.50622113305647,1482.705015506647,37
2DSA_arch__256_128_64__scaler_robust_opt_rmsprop_batch_64_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",robust,rmsprop,64,relu,0.3,377.07106287762906,100.08969748333963,257.93320728112496,177263.91055297852,16528.555786132812,158469.00186157227,1799.4707430172307,207.0945035493121,1485.2608638143638,37
2DSA_arch__256_128_64__scaler_robust_opt_sgd_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",robust,sgd,16,elu,0.3,389.3807993970987,99.49098751327968,254.00065622029592,177297.74865722656,10460.29248046875,158337.18688964844,1799.157012503434,198.11576450781084,1485.0601779728772,52
2DSA_arch__512_256_128__scaler_standard_opt_rmsprop_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",standard,rmsprop,16,elu,0.3,389.5486356315272,99.44723892607186,253.80132897953789,177343.5678100586,14246.468017578123,157309.7401123047,1806.6183262131467,205.4401979243877,1481.185872823957,51
2DSA_arch__512_256_128__scaler_minmax_opt_adam_batch_64_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",minmax,adam,64,relu,0.3,380.9939759409792,99.60607073721104,255.7242595465574,177174.80462646484,13770.098876953123,158678.9688720703,1816.8404060518387,204.0911055119651,1488.117755188063,33
2DSA_arch__512_256_128__scaler_minmax_opt_rmsprop_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",minmax,rmsprop,16,relu,0.2,433.98565461222574,99.20637353870632,255.5002548745232,176161.7733154297,4628.994499206543,168491.2060546875,1939.5641982698992,192.82743092939816,1526.67477171636,42
2DSA_arch__512_256_128__scaler_minmax_opt_sgd_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",minmax,sgd,16,relu,0.2,390.9801106460164,99.48017014218912,251.2077958564832,177163.09957885742,17164.443237304688,158365.06658935547,1836.5116236869767,212.9117198351628,1488.5244634186074,32
