config_name,architecture,scaler,optimizer,batch_size,activation,dropout_rate,train_mae,val_mae,test_mae,train_max_error,val_max_error,test_max_error,train_error_std,val_error_std,test_error_std,epochs
2DSA_arch__64_32__scaler_standard_opt_rmsprop_batch_16_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[64, 32]",standard,rmsprop,16,elu,0.2,323.2024716974796,56.64118875407901,183.3732997110556,174123.44067382812,17476.325592041016,155537.79858398438,1692.8908159697214,140.3352001716787,1340.4342661078067,29
2DSA_arch__64_32__scaler_standard_opt_sgd_batch_64_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[64, 32]",standard,sgd,64,relu,0.2,335.09512444159566,46.399863649264766,188.94881971738857,175684.06213378906,16155.819946289062,155642.23901367188,1728.5579203085565,139.98349868134164,1383.4637626806805,28
2DSA_arch__64_32__scaler_minmax_opt_adam_batch_32_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[64, 32]",minmax,adam,32,relu,0.3,299.48659956905544,40.99838484594955,170.3202652974899,171410.224609375,16412.89453125,133282.837890625,1606.0865840540896,134.15221952599282,1096.9784266681522,42
2DSA_arch__64_32__scaler_minmax_opt_rmsprop_batch_64_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[64, 32]",minmax,rmsprop,64,relu,0.2,316.86453425854234,48.22423996011955,186.90230073893608,174436.00463867188,16533.413208007812,154381.53369140625,1697.0109905161712,139.1352451904565,1362.476216508903,28
2DSA_arch__64_32__scaler_minmax_opt_rmsprop_batch_64_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[64, 32]",minmax,rmsprop,64,elu,0.3,362.5781989888,50.509270359473206,184.4269017943973,176951.2905883789,17005.26611328125,157719.74377441406,1809.3710175875635,138.92695718735817,1439.6910666335536,26
2DSA_arch__64_32__scaler_minmax_opt_sgd_batch_64_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[64, 32]",minmax,sgd,64,relu,0.2,1720.0996347034563,43.41793402751199,202.2107075961393,142948334.0,16441.490966796875,269465.3125,358484.3877345235,134.9001608307434,1842.6432901038704,51
2DSA_arch__64_32__scaler_robust_opt_adam_batch_16_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[64, 32]",robust,adam,16,elu,0.2,346.9428109669586,52.832504631773865,191.12954374712265,176352.82055664062,16697.977905273438,156590.7099609375,1770.2425513710236,138.38057435874578,1416.5086377257733,26
2DSA_arch__64_32__scaler_robust_opt_rmsprop_batch_64_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[64, 32]",robust,rmsprop,64,relu,0.2,315.33258068266,49.22964719974047,183.97674720366305,173486.767578125,16406.6884765625,141416.970703125,1673.71812403056,136.66390741696367,1259.182919223825,33
2DSA_arch__64_32__scaler_robust_opt_sgd_batch_32_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[64, 32]",robust,sgd,32,relu,0.3,355.7408543069687,50.98314462474459,188.6579823581467,176753.04754638672,16619.785034179688,155262.416015625,1785.4858488444336,140.17710874103736,1406.352653323663,35
2DSA_arch__128_64__scaler_standard_opt_adam_batch_64_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[128, 64]",standard,adam,64,elu,0.3,305.78257354413483,52.441215564537394,173.03025462044036,172283.65380859375,16917.668579101562,145967.7490234375,1640.6722410956763,147.4623647109805,1242.3195341702883,32
2DSA_arch__128_64__scaler_standard_opt_rmsprop_batch_64_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[128, 64]",standard,rmsprop,64,relu,0.2,290.0186741563584,51.277984341459465,183.7528147966357,167053.1748046875,15511.539306640623,145089.576171875,1589.3109732318587,142.4497937143828,1181.146923940457,36
2DSA_arch__128_64__scaler_standard_opt_sgd_batch_16_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[128, 64]",standard,sgd,16,elu,0.2,324.66772222955194,47.93357052588628,182.2693760331325,242370.75,15848.696044921877,184218.65625,2106.299052796853,145.37690918559906,1381.9532751060617,48
2DSA_arch__128_64__scaler_minmax_opt_rmsprop_batch_64_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[128, 64]",minmax,rmsprop,64,elu,0.3,314.2721275396317,54.18190790421675,168.22040057574094,173883.09765625,15397.077392578123,149200.267578125,1639.7277012477196,147.4775751724549,1222.7344509432776,42
2DSA_arch__128_64__scaler_minmax_opt_sgd_batch_32_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[128, 64]",minmax,sgd,32,relu,0.3,409.0365599583221,47.227597838456106,191.7872418183756,176241.86645507812,15065.390380859377,74904.65625,2332.623421415637,129.28790878802707,1178.4154470675817,41
2DSA_arch__128_64__scaler_robust_opt_adam_batch_64_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[128, 64]",robust,adam,64,elu,0.3,303.0247915925798,51.25662751232764,179.66149115905682,173148.47021484375,16690.836669921875,139494.322265625,1621.2018348109946,140.71947899277106,1152.563919299727,40
2DSA_arch__128_64__scaler_robust_opt_rmsprop_batch_32_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[128, 64]",robust,rmsprop,32,relu,0.3,312.79503748341176,48.47125518826122,178.536938294598,171421.599609375,17189.454528808594,126270.15234375,1650.3776871456644,141.13796920202586,1139.0848136682844,39
2DSA_arch__128_64__scaler_robust_opt_sgd_batch_64_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[128, 64]",robust,sgd,64,elu,0.3,345.2628606710906,45.103701922817386,184.6517673179893,176301.6064453125,16622.802490234375,135971.078125,1754.3089122732483,140.65524474538685,1300.6191433557033,65
2DSA_arch__256_128_64__scaler_standard_opt_adam_batch_64_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",standard,adam,64,relu,0.2,325.34113394259583,52.0700831482613,187.03735393594843,175428.93237304688,16649.509521484375,155835.64501953125,1731.0761484389363,144.1490735729835,1386.914198567101,26
2DSA_arch__256_128_64__scaler_standard_opt_rmsprop_batch_16_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",standard,rmsprop,16,elu,0.2,311.54836744957794,53.06398836164656,173.8338466465475,166694.328125,16047.43017578125,129749.724609375,1585.239908515836,140.08986883125692,966.6316841993088,32
2DSA_arch__256_128_64__scaler_standard_opt_sgd_batch_64_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",standard,sgd,64,elu,0.3,305.3694290928648,50.05196022055382,188.07491711290416,174018.31005859375,16977.778259277344,156162.10424804688,1645.5054541627285,145.35159760036865,1322.2351872745794,38
2DSA_arch__256_128_64__scaler_standard_opt_adam_batch_32_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",standard,adam,32,relu,0.2,292.6378943896568,50.441671233652606,184.4897114947576,166465.1435546875,12092.583984375,139469.6328125,1577.0308997184504,140.01978817811943,1109.0661384167802,34
2DSA_arch__256_128_64__scaler_standard_opt_rmsprop_batch_16_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",standard,rmsprop,16,relu,0.3,302.98685556727986,50.21184827955347,178.79308749566897,169255.1875,14428.6025390625,134773.07421875,1595.901289640906,137.87208825698937,1047.9684472961983,46
