config_name,architecture,scaler,optimizer,batch_size,activation,dropout_rate,train_mae,val_mae,test_mae,train_max_error,val_max_error,test_max_error,train_error_std,val_error_std,test_error_std,epochs
2DSA_arch__64_32__scaler_standard_opt_rmsprop_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[64, 32]",standard,rmsprop,16,relu,0.2,359.0352883856483,77.31327233545568,185.41154170570945,174967.2958984375,17271.620330810547,142744.9951171875,1770.6758684136778,147.4573391436526,1284.4699945686991,32
2DSA_arch__64_32__scaler_standard_opt_sgd_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[64, 32]",standard,sgd,16,elu,0.3,358.1126355945821,56.47221712416764,185.0062549497203,175864.5848388672,16489.702880859375,152973.96923828125,1774.3490881265782,142.065785496504,1363.0572265720757,35
2DSA_arch__64_32__scaler_minmax_opt_rmsprop_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[64, 32]",minmax,rmsprop,16,elu,0.3,367.3899754953708,67.6434450167843,200.1532624541224,175416.54443359375,13011.6123046875,138850.349609375,1781.336254332579,141.36091115778913,1227.004586990206,39
2DSA_arch__64_32__scaler_robust_opt_adam_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[64, 32]",robust,adam,16,elu,0.3,381.3139663420295,70.93454681153725,180.8085649080573,175826.7977294922,13365.4130859375,126904.958984375,1874.2913306083,142.62474663181465,1151.4090844365928,39
2DSA_arch__64_32__scaler_robust_opt_sgd_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[64, 32]",robust,sgd,16,relu,0.2,362.8314958860519,72.69267338495952,191.53338781013483,176796.38739013672,17369.672119140625,156576.75927734375,1803.12469180557,152.01852404645877,1420.9995226999297,39
2DSA_arch__128_64__scaler_standard_opt_adam_batch_32_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[128, 64]",standard,adam,32,elu,0.2,350.17748991103906,82.79054463387479,191.7807054288051,175753.09619140625,16639.929565429688,155228.58862304688,1761.4780635479665,166.16090472364027,1385.687917155121,27
2DSA_arch__128_64__scaler_standard_opt_rmsprop_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[128, 64]",standard,rmsprop,16,elu,0.3,356.6771847769267,68.03449142845324,188.12278559625148,176257.5919189453,16727.94189453125,155747.10668945312,1781.691185747086,147.71217713239247,1402.5690377783626,27
2DSA_arch__128_64__scaler_minmax_opt_sgd_batch_16_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[128, 64]",minmax,sgd,16,relu,0.3,369.3327295042944,48.38233271893888,199.7840641467625,176693.3760986328,16749.43878173828,153901.435546875,1797.8844668285208,148.5471201597465,1412.3610325148668,27
2DSA_arch__128_64__scaler_robust_opt_adam_batch_32_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[128, 64]",robust,adam,32,elu,0.3,353.3151884021325,71.56058986914677,177.83589943224365,173967.92041015625,17032.162353515625,113342.953125,1758.8661481229406,145.73090139520687,1032.731677300325,45
2DSA_arch__128_64__scaler_robust_opt_rmsprop_batch_64_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[128, 64]",robust,rmsprop,64,elu,0.2,344.66424896134595,74.66838420966444,181.54939757099888,173940.68627929688,17150.037658691406,144053.2001953125,1735.7611044096725,151.06329649065816,1257.0853719575096,32
