method,target,feature_space,split_mode,grid_config_name,grid_config_path,config_architecture,config_scaler,config_optimizer,config_batch_size,config_activation,config_dropout,batch_size,dropout_rate,train_mae,val_mae,test_mae,train_error_std,val_error_std,test_error_std,epochs,train_mean_error_CPUTime,train_median_error_CPUTime,train_error_std_CPUTime,train_max_error_CPUTime,train_p95_abs_error_CPUTime,val_mean_error_CPUTime,val_median_error_CPUTime,val_error_std_CPUTime,val_max_error_CPUTime,val_p95_abs_error_CPUTime,test_mean_error_CPUTime,test_median_error_CPUTime,test_error_std_CPUTime,test_max_error_CPUTime,test_p95_abs_error_CPUTime,train_mean_error_max_rss,train_median_error_max_rss,train_error_std_max_rss,train_max_error_max_rss,train_p95_abs_error_max_rss,val_mean_error_max_rss,val_median_error_max_rss,val_error_std_max_rss,val_max_error_max_rss,val_p95_abs_error_max_rss,test_mean_error_max_rss,test_median_error_max_rss,test_error_std_max_rss,test_max_error_max_rss,test_p95_abs_error_max_rss
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.2,server/run_2025_12_27/results/2dsa/cpu/raw/record/2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.2,128_64,minmax_opt_adam_batch_128_act_elu_drop_0,adam_batch_128_act_elu_drop_0,128,elu_drop_0,0.2,128,0.2,230.57538290856468,310.8340005338247,621.9277133136827,1380.4346570019488,1262.1474309663818,2301.31074059144,51,230.57538290856468,46.79663848876953,1380.4346570019488,246189.0615234375,844.570516967773,310.8340005338247,57.48362731933594,1262.1474309663818,65751.412109375,1110.78515625,621.9277133136827,47.95599365234375,2301.31074059144,75262.28515625,3249.8026367187517,,,,,,,,,,,,,,,
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.3,server/run_2025_12_27/results/2dsa/cpu/raw/record/2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.3,128_64,minmax_opt_adam_batch_128_act_elu_drop_0,adam_batch_128_act_elu_drop_0,128,elu_drop_0,0.3,128,0.3,233.13203849193897,309.6553070275825,626.0254558151101,1375.705534050721,1249.7517458650084,2304.5306336547105,63,233.13203849193897,65.89952850341797,1375.705534050721,246807.1083984375,830.0977722167967,309.6553070275825,72.05498504638672,1249.7517458650084,65633.244140625,1109.9439086914062,626.0254558151101,47.585350036621094,2304.5306336547105,75103.86401367188,3359.553710937502,,,,,,,,,,,,,,,
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.2,server/run_2025_12_27/results/2dsa/cpu/raw/record/2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.2,128_64,minmax_opt_adam_batch_128_act_relu_drop_0,adam_batch_128_act_relu_drop_0,128,relu_drop_0,0.2,128,0.2,241.3251871406668,302.35570123099126,594.4018600651538,1388.4458433447044,1322.318483979308,2273.2204035796785,35,241.3251871406668,37.54660987854004,1388.4458433447044,247997.26953125,896.0709289550772,302.35570123099126,42.54457092285156,1322.318483979308,69270.9912109375,995.2453117370604,594.4018600651538,45.758583068847656,2273.2204035796785,75651.65100097656,2812.820959472658,,,,,,,,,,,,,,,
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.3,server/run_2025_12_27/results/2dsa/cpu/raw/record/2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.3,128_64,minmax_opt_adam_batch_128_act_relu_drop_0,adam_batch_128_act_relu_drop_0,128,relu_drop_0,0.3,128,0.3,218.64407753935143,289.57888532733085,578.0646394967803,1371.4234594111388,1324.4075274354475,2325.316473027838,49,218.64407753935143,30.88420867919922,1371.4234594111388,248262.28100585935,819.2359924316393,289.57888532733085,38.84540939331055,1324.4075274354475,68445.5185546875,970.9954223632812,578.0646394967803,41.446685791015625,2325.316473027838,76034.1376953125,2561.993750000001,,,,,,,,,,,,,,,
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.2,server/run_2025_12_27/results/2dsa/cpu/raw/record/2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.2,128_64,minmax_opt_adam_batch_64_act_elu_drop_0,adam_batch_64_act_elu_drop_0,64,elu_drop_0,0.2,64,0.2,228.81195551194523,295.13147398140677,582.8821754052229,1390.3506742157397,1250.7076296886726,2254.9233920709858,38,228.81195551194523,43.14250946044922,1390.3506742157397,247196.64306640625,830.2283233642571,295.13147398140677,52.49182891845703,1250.7076296886726,66728.498046875,937.6826782226562,582.8821754052229,43.76304244995117,2254.9233920709858,75424.35791015625,2925.996484375006,,,,,,,,,,,,,,,
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.3,server/run_2025_12_27/results/2dsa/cpu/raw/record/2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.3,128_64,minmax_opt_adam_batch_64_act_elu_drop_0,adam_batch_64_act_elu_drop_0,64,elu_drop_0,0.3,64,0.3,222.3842290363348,289.5214966488654,606.0296541741199,1373.0302977516158,1227.9063567652013,2341.3528529245596,55,222.3842290363348,52.324724197387695,1373.0302977516158,246798.642578125,825.2185791015615,289.5214966488654,63.664215087890625,1227.9063567652013,65865.06103515625,1041.0667724609375,606.0296541741199,47.677284240722656,2341.3528529245596,75555.89135742188,3024.721875000001,,,,,,,,,,,,,,,
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.2,server/run_2025_12_27/results/2dsa/cpu/raw/record/2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.2,128_64,minmax_opt_adam_batch_64_act_relu_drop_0,adam_batch_64_act_relu_drop_0,64,relu_drop_0,0.2,64,0.2,209.25723575237456,268.55580684262725,546.5009242765929,1318.1474810901848,1255.0267344239082,2444.3559247715025,84,209.25723575237456,37.7830924987793,1318.1474810901848,246706.0517578125,774.6481750488276,268.55580684262725,39.37923431396485,1255.0267344239082,67703.5263671875,853.9635009765625,546.5009242765929,49.380889892578125,2444.3559247715025,119395.3828125,2319.4008789062527,,,,,,,,,,,,,,,
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.3,server/run_2025_12_27/results/2dsa/cpu/raw/record/2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.3,128_64,minmax_opt_adam_batch_64_act_relu_drop_0,adam_batch_64_act_relu_drop_0,64,relu_drop_0,0.3,64,0.3,201.92808441087348,289.20717247951757,574.1798232841954,1311.591609338305,1282.7098778468053,2394.210304925697,78,201.92808441087348,29.60462188720703,1311.591609338305,245940.4423828125,748.3483215332021,289.20717247951757,60.47264862060547,1282.7098778468053,67965.130859375,879.60791015625,574.1798232841954,72.46788024902344,2394.210304925697,102755.765625,2418.291943359376,,,,,,,,,,,,,,,
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_elu_drop_0.2,server/run_2025_12_27/results/2dsa/cpu/raw/record/2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_elu_drop_0.2,128_64,minmax_opt_rmsprop_batch_128_act_elu_drop_0,rmsprop_batch_128_act_elu_drop_0,128,elu_drop_0,0.2,128,0.2,219.92056021449508,306.34951385468906,684.6249714717615,1400.4977138376578,1221.9916586238062,2298.225501133748,62,219.92056021449508,50.003273010253906,1400.4977138376578,248310.33129882812,772.1888427734374,306.34951385468906,58.62614440917969,1221.9916586238062,68459.92431640625,1241.797138214111,684.6249714717615,58.55805206298828,2298.225501133748,75815.05187988281,3648.6335937500057,,,,,,,,,,,,,,,
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_elu_drop_0.3,server/run_2025_12_27/results/2dsa/cpu/raw/record/2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_elu_drop_0.3,128_64,minmax_opt_rmsprop_batch_128_act_elu_drop_0,rmsprop_batch_128_act_elu_drop_0,128,elu_drop_0,0.3,128,0.3,215.8838276834832,287.5195322220474,581.885253037752,1429.4411821360045,1255.2595935902189,2190.807143832153,52,215.8838276834832,40.51823806762695,1429.4411821360045,249210.41259765625,803.2977111816402,287.5195322220474,51.464691162109375,1255.2595935902189,68706.4296875,1015.6525268554688,581.885253037752,42.048622131347656,2190.807143832153,75657.38146972656,2991.599609375002,,,,,,,,,,,,,,,
