method,target,feature_space,split_mode,grid_config_name,split,prediction_target,count_topN,mean_absolute_error,median_absolute_error,max_absolute_error,mean_relative_error,median_relative_error,max_relative_error
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.2,test,CPUTime,100,32725.82115600586,26040.13165283203,75262.28515625,0.9135765103568607,0.9301910906379114,0.9721141540051436
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.2,train,CPUTime,100,41717.09710083008,31543.24609375,246189.0615234375,1.7588011468830482,0.8639433057491408,69.02680121527777
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.2,val,CPUTime,100,17460.867365112306,13326.3857421875,65751.412109375,1.2515218618943167,0.7511383401624674,9.315277321072204
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.3,test,CPUTime,100,32653.087841796874,26018.621154785156,75103.86401367188,0.9113252314825481,0.9246085083075689,0.9714415124517668
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.3,train,CPUTime,100,41749.27120727539,32820.35595703125,246807.1083984375,1.7562239628255207,0.8570623324530641,68.80807382089121
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.3,val,CPUTime,100,17363.97367980957,13204.03564453125,65633.244140625,1.2552864716259864,0.7646487081090456,9.361392614976417
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.2,test,CPUTime,100,33435.58717956543,26600.41033935547,75651.65100097656,5.131087160898059,0.9379284711603599,302.2589128521127
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.2,train,CPUTime,100,41516.81018432617,31297.5947265625,247997.26953125,1.3868345924535783,0.8495328171340981,43.078274197048614
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.2,val,CPUTime,100,19731.392445983885,16300.382568359375,69270.9912109375,2.0610281460715614,0.7443563901689612,16.77215762200653
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.3,test,CPUTime,100,34299.73032043457,27087.99688720703,76034.1376953125,9.121504845121205,0.9519271944400286,605.5346610915493
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.3,train,CPUTime,100,40865.34415649414,30990.2705078125,248262.28100585935,0.8535652097639996,0.8462660932934611,3.122350249691104
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.3,val,CPUTime,100,20184.68295227051,16342.2890625,68445.5185546875,2.451366259766169,0.7600677143052935,19.45875759706096
