method,target,split_mode,model_id,grid_config_name,feature_space,config_architecture,config_scaler,config_optimizer,config_batch_size,config_activation,config_dropout,val_mae,val_error_std,epochs
2DSA,CPUTime,Record-order,128x64_minmax_rmsprop_bs64_relu_do0.3,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_64_act_relu_drop_0.3,raw,128_64,minmax_opt_rmsprop_batch_64_act_relu_drop_0,rmsprop_batch_64_act_relu_drop_0,64,relu_drop_0,0.3,250.15826167967427,1235.792470809831,100
2DSA,CPUTime,Temporal-order,64x32_std_adam_bs64_elu_do0.2,2dsa_arch_64_32_scaler_standard_opt_adam_batch_64_act_elu_drop_0.2,raw,64_32,standard_opt_adam_batch_64_act_elu_drop_0,adam_batch_64_act_elu_drop_0,64,elu_drop_0,0.2,417.01414351707734,1777.2019467203074,22
2DSA,max_rss,Record-order,128x64_std_adam_bs64_elu_do0.2,2dsa_arch_128_64_scaler_standard_opt_adam_batch_64_act_elu_drop_0.2,raw,128_64,standard_opt_adam_batch_64_act_elu_drop_0,adam_batch_64_act_elu_drop_0,64,elu_drop_0,0.2,452.3428109134391,933.1299230672864,77
2DSA,max_rss,Temporal-order,128x64_std_rmsprop_bs128_elu_do0.2,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_128_act_elu_drop_0.2,raw,128_64,standard_opt_rmsprop_batch_128_act_elu_drop_0,rmsprop_batch_128_act_elu_drop_0,128,elu_drop_0,0.2,529.972997492532,1000.8342871369658,100
GA,CPUTime,Record-order,64x32_std_adam_bs64_relu_do0.3,ga_arch_64_32_scaler_standard_opt_adam_batch_64_act_relu_drop_0.3,raw,64_32,standard_opt_adam_batch_64_act_relu_drop_0,adam_batch_64_act_relu_drop_0,64,relu_drop_0,0.3,12889.164335454076,32181.65256336147,100
GA,CPUTime,Temporal-order,128x64_std_adam_bs128_relu_do0.2,ga_arch_128_64_scaler_standard_opt_adam_batch_128_act_relu_drop_0.2,raw,128_64,standard_opt_adam_batch_128_act_relu_drop_0,adam_batch_128_act_relu_drop_0,128,relu_drop_0,0.2,21035.15861775664,47420.540135397,89
GA,max_rss,Record-order,128x64_minmax_adam_bs128_elu_do0.3,ga_arch_128_64_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.3,raw,128_64,minmax_opt_adam_batch_128_act_elu_drop_0,adam_batch_128_act_elu_drop_0,128,elu_drop_0,0.3,29997.68106135763,49720.55672347561,100
GA,max_rss,Temporal-order,128x64_std_adam_bs64_relu_do0.2,ga_arch_128_64_scaler_standard_opt_adam_batch_64_act_relu_drop_0.2,raw,128_64,standard_opt_adam_batch_64_act_relu_drop_0,adam_batch_64_act_relu_drop_0,64,relu_drop_0,0.2,108119.18846114048,280404.85113278596,100
PCSA,CPUTime,Record-order,128x64_minmax_rmsprop_bs128_relu_do0.3,pcsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_relu_drop_0.3,raw,128_64,minmax_opt_rmsprop_batch_128_act_relu_drop_0,rmsprop_batch_128_act_relu_drop_0,128,relu_drop_0,0.3,630.4286193953786,1557.4320558858878,52
PCSA,CPUTime,Temporal-order,128x64_minmax_adam_bs64_relu_do0.2,pcsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.2,raw,128_64,minmax_opt_adam_batch_64_act_relu_drop_0,adam_batch_64_act_relu_drop_0,64,relu_drop_0,0.2,96.45131193896448,229.2185106352598,28
PCSA,max_rss,Record-order,64x32_std_rmsprop_bs64_elu_do0.2,pcsa_arch_64_32_scaler_standard_opt_rmsprop_batch_64_act_elu_drop_0.2,raw,64_32,standard_opt_rmsprop_batch_64_act_elu_drop_0,rmsprop_batch_64_act_elu_drop_0,64,elu_drop_0,0.2,1378.131211335233,3810.034819792134,12
PCSA,max_rss,Temporal-order,64x32_std_rmsprop_bs128_relu_do0.2,pcsa_arch_64_32_scaler_standard_opt_rmsprop_batch_128_act_relu_drop_0.2,raw,64_32,standard_opt_rmsprop_batch_128_act_relu_drop_0,rmsprop_batch_128_act_relu_drop_0,128,relu_drop_0,0.2,233.659471278654,840.1594825852969,21
