feature,mean_importance,std_importance
CPUCount,0.3878933323205752,0.0018017384882234287
max_rss,0.35262872404659235,0.0022165273843729465
wallTime,0.11601910399404584,0.0020447288189092273
edited_scans.0,0.06081539226038822,0.0015152722455145983
edited_radial_points.0,0.03568099715920209,0.0020029430000863685
job.cluster.@attributes.name,0.03138473618817801,0.0006291641524523438
job.jobParameters.mc_iterations.@attributes.value,0.007589612683303768,0.00028955022360505165
job.jobParameters.req_mgroupcount.@attributes.value,0.005613190111713955,0.00042709885388042036
job.jobParameters.population.@attributes.value,0.000639321260051067,5.372487384395945e-05
job.jobParameters.mutate_sigma.@attributes.value,0.0006325726275402319,5.95762099254943e-05
job.jobParameters.demes.@attributes.value,0.0004059101244300074,4.441263286877752e-05
job.jobParameters.bucket_fixed.@attributes.ytype,0.0001890262871235843,2.519201396900734e-05
job.jobParameters.bucket_fixed.@attributes.xtype,0.00012299510476620335,1.4903387731753574e-05
job.jobParameters.bucket_fixed.@attributes.fixedtype,7.370693829959337e-05,1.5151253399786378e-05
simpoints.0,5.768610176567122e-05,7.752406949725528e-06
job.jobParameters.bucket_fixed.@attributes.value,5.4708148910951073e-05,9.164137340829416e-06
job.jobParameters.migration.@attributes.value,4.8178261425932075e-05,8.219477306633635e-06
job.jobParameters.regularization.@attributes.value,4.06318751125995e-05,1.2793956325905174e-05
job.jobParameters.plague.@attributes.value,2.2357547453825904e-05,6.2674851551042945e-06
job.jobParameters.p_mutate_s.@attributes.value,2.028973535756054e-05,8.540933512677977e-06
job.jobParameters.p_mutate_k.@attributes.value,1.9629407796534294e-05,3.6194724519927797e-06
job.jobParameters.p_mutate_sk.@attributes.value,1.898062933745716e-05,9.729603355117378e-06
job.jobParameters.s_grid.@attributes.value,1.6158170812405788e-05,5.05818308952292e-06
job.jobParameters.k_grid.@attributes.value,1.2599465745682443e-05,4.0470158971037445e-06
job.jobParameters.conc_threshold.@attributes.value,9.752698352855294e-08,4.6650879655596715e-08
job.jobParameters.seed.@attributes.value,4.603762284491706e-08,8.215532031048032e-08
job.jobParameters.generations.@attributes.value,1.5985464937635852e-08,1.3752906719751244e-08
