feature,mean_importance,std_importance,selection_frequency,mean_execution_time
job.jobParameters.mc_iterations.@attributes.value,0.1242303221902678,0.0063943808707645445,100.0,4.509716561635336
edited_scans.0,0.09811457829504805,0.004161582076308901,100.0,4.509716561635336
max_rss,0.07892810637322112,0.0031772717083161294,100.0,4.509716561635336
job.jobParameters.s_grid_points.@attributes.value,0.0695224493418284,0.003894833344459104,100.0,4.509716561635336
job.jobParameters.uniform_grid.@attributes.value,0.06712293822744188,0.0034351880540910546,100.0,4.509716561635336
edited_radial_points.0,0.06092510380373639,0.003220122043990333,100.0,4.509716561635336
job.jobParameters.meniscus_points.@attributes.value,0.055388214594400506,0.007377556847535235,100.0,4.509716561635336
job.jobParameters.ff0_grid_points.@attributes.value,0.0494036290166678,0.0031848249144898607,100.0,4.509716561635336
job.jobParameters.tinoise_option.@attributes.value,0.04573922714068681,0.002822594273939096,100.0,4.509716561635336
wallTime,0.042510146081284124,0.002338979666299434,100.0,4.509716561635336
job.jobParameters.s_resolution.@attributes.value,0.04081600088536502,0.0036734396331860333,100.0,4.509716561635336
job.jobParameters.meniscus_range.@attributes.value,0.040694321642073455,0.005356634013600087,100.0,4.509716561635336
job.cluster.@attributes.name,0.037682182855013575,0.004588806276017431,100.0,4.509716561635336
job.jobParameters.s_max.@attributes.value,0.036649095185961336,0.001842542690082354,100.0,4.509716561635336
CPUCount,0.03192382787266059,0.002878107926684649,100.0,4.509716561635336
job.jobParameters.ff0_max.@attributes.value,0.028720577059416844,0.002771511167452359,100.0,4.509716561635336
job.jobParameters.ff0_resolution.@attributes.value,0.028325190531754346,0.0026324003109948735,100.0,4.509716561635336
simpoints.0,0.017064062151725016,0.009040032508138307,100.0,4.509716561635336
job.jobParameters.s_min.@attributes.value,0.016451475447398205,0.0017195551203608424,100.0,4.509716561635336
job.jobParameters.max_iterations.@attributes.value,0.010609161153315344,0.0011007101514269202,100.0,4.509716561635336
job.jobParameters.rinoise_option.@attributes.value,0.010334016290824404,0.0006839066487274429,100.0,4.509716561635336
job.jobParameters.ff0_min.@attributes.value,0.008845373859908811,0.002171215135537385,100.0,4.509716561635336
job.jobParameters.req_mgroupcount.@attributes.value,0.0,0.0,0.0,4.509716561635336
