CPUCount,edited_radial_points.0,edited_scans.0,job.cluster.@attributes.name,job.jobParameters.bucket_fixed.@attributes.fixedtype,job.jobParameters.bucket_fixed.@attributes.value,job.jobParameters.bucket_fixed.@attributes.xtype,job.jobParameters.bucket_fixed.@attributes.ytype,job.jobParameters.conc_threshold.@attributes.value,job.jobParameters.demes.@attributes.value,job.jobParameters.generations.@attributes.value,job.jobParameters.k_grid.@attributes.value,job.jobParameters.mc_iterations.@attributes.value,job.jobParameters.migration.@attributes.value,job.jobParameters.mutate_sigma.@attributes.value,job.jobParameters.p_mutate_k.@attributes.value,job.jobParameters.p_mutate_s.@attributes.value,job.jobParameters.p_mutate_sk.@attributes.value,job.jobParameters.plague.@attributes.value,job.jobParameters.population.@attributes.value,job.jobParameters.regularization.@attributes.value,job.jobParameters.req_mgroupcount.@attributes.value,job.jobParameters.s_grid.@attributes.value,job.jobParameters.seed.@attributes.value,simpoints.0,CPUTime,max_rss,wallTime
36,1014,149,22,2,0.0,3,1,1e-05,31,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,8559,3490,9276	v1.0-uslims3_ColoState-8324
24,826,196,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,4049,1629,86908	v1.0-uslims3_CU_Boulder-13025
16,1110,361,10,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,6860,1920,25663	v1.0-uslims3_CCH-69928
24,1113,90,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,2108,1680,6349	v1.0-uslims3_IUBloom-3543
32,157,70,1,2,0.0,3,1,1e-05,31,100,100,50,3,0,20,20,20,4,200,0.05,1,100,0,200,1698,14971,1707	v1.0-uslims3_Uni_KN-4388
32,1112,180,5,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,4243,8133,4272	v1.0-uslims3_CCH-68730
24,1062,69,7,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,3720,1609,3752	v1.0-uslims3_Canterbury-1376
36,1053,194,22,2,0.0,3,1,1e-05,31,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,13993,5711,14057	v1.0-uslims3_ColoState-9473
32,1107,60,26,2,0.0,3,1,1e-05,31,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,1295,1481,1322	v1.0-uslims3_CAUMA-15674
384,1037,20,7,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,16,100,0,200,491,44634,546	v1.0-uslims3_Aalto-289
288,963,145,22,2,0.0,3,1,1e-05,31,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,23032,167715,26265	v1.0-uslims3_ColoState-8751
96,1009,134,1,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,4,100,0,200,3371,66701,3377	v1.0-uslims3_CU_Boulder-4008
24,1121,179,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,10340,2725,10363	v1.0-uslims3_UMICH-4702
96,848,150,21,2,0.0,3,1,1e-05,1,100,100,48,3,0,20,20,20,4,200,0.05,4,100,0,200,13164,53949,13194	v1.0-uslims3_CU_Boulder-14970
192,1017,63,7,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,10559,55249,13988	v1.0-uslims3_ColoState-9612
