feature,coefficient
job.jobParameters.mc_iterations.@attributes.value,404.16868645719177
max_rss,203.33475964323904
job.jobParameters.uniform_grid.@attributes.value,190.57114652893915
simpoints.0,98.91971108730803
job.jobParameters.meniscus_points.@attributes.value,87.07764533273156
edited_scans.0,75.3633158593901
job.jobParameters.ff0_min.@attributes.value,45.27509769585399
CPUCount,31.626536267616277
job.jobParameters.s_grid_points.@attributes.value,14.348839010364928
job.jobParameters.tinoise_option.@attributes.value,0.0
job.jobParameters.s_resolution.@attributes.value,0.0
job.jobParameters.s_min.@attributes.value,0.0
job.jobParameters.s_max.@attributes.value,0.0
job.jobParameters.meniscus_range.@attributes.value,0.0
job.jobParameters.rinoise_option.@attributes.value,0.0
job.jobParameters.req_mgroupcount.@attributes.value,0.0
edited_radial_points.0,0.0
job.jobParameters.max_iterations.@attributes.value,0.0
job.jobParameters.ff0_resolution.@attributes.value,0.0
job.jobParameters.ff0_max.@attributes.value,0.0
job.jobParameters.ff0_grid_points.@attributes.value,0.0
job.cluster.@attributes.name,0.0
wallTime,0.0
