feature1,feature2,interaction_score
max_rss,edited_scans.0,0.5586867080868624
max_rss,job.jobParameters.population.@attributes.value,0.5532098320354205
max_rss,edited_radial_points.0,0.5314737515635417
max_rss,job.jobParameters.bucket_fixed.@attributes.ytype,0.5314394971551475
job.jobParameters.mc_iterations.@attributes.value,max_rss,0.5292759727706411
job.jobParameters.mc_iterations.@attributes.value,edited_scans.0,0.4802169246234621
max_rss,job.jobParameters.req_mgroupcount.@attributes.value,0.4714459767746776
max_rss,job.cluster.@attributes.name,0.44041255894920867
CPUCount,max_rss,0.4208190813307637
edited_scans.0,edited_radial_points.0,0.4102884176955782
edited_scans.0,job.jobParameters.population.@attributes.value,0.4098998797076382
max_rss,job.jobParameters.demes.@attributes.value,0.405754164357997
job.jobParameters.req_mgroupcount.@attributes.value,edited_scans.0,0.38888303262329604
job.jobParameters.mc_iterations.@attributes.value,job.jobParameters.population.@attributes.value,0.3802441596755713
edited_scans.0,job.jobParameters.bucket_fixed.@attributes.ytype,0.3580130945889866
job.jobParameters.mc_iterations.@attributes.value,job.jobParameters.bucket_fixed.@attributes.ytype,0.34409725618546644
job.jobParameters.mc_iterations.@attributes.value,edited_radial_points.0,0.342997812690842
CPUCount,edited_scans.0,0.3373232478926146
job.jobParameters.mc_iterations.@attributes.value,job.jobParameters.req_mgroupcount.@attributes.value,0.2800806415922913
job.jobParameters.mc_iterations.@attributes.value,job.jobParameters.demes.@attributes.value,0.2729577891357415
edited_scans.0,job.cluster.@attributes.name,0.25889072166697713
job.jobParameters.mc_iterations.@attributes.value,job.cluster.@attributes.name,0.2548574277037119
job.jobParameters.req_mgroupcount.@attributes.value,job.jobParameters.population.@attributes.value,0.24037827583448065
job.jobParameters.req_mgroupcount.@attributes.value,edited_radial_points.0,0.23454610245626198
CPUCount,job.jobParameters.mc_iterations.@attributes.value,0.228863843445252
job.jobParameters.req_mgroupcount.@attributes.value,job.jobParameters.bucket_fixed.@attributes.ytype,0.20370846346376992
edited_radial_points.0,job.jobParameters.population.@attributes.value,0.18056819898232332
edited_scans.0,job.jobParameters.demes.@attributes.value,0.17746702882774923
CPUCount,job.jobParameters.req_mgroupcount.@attributes.value,0.16909232046662795
job.jobParameters.population.@attributes.value,job.jobParameters.demes.@attributes.value,0.1422704594573616
job.jobParameters.demes.@attributes.value,job.cluster.@attributes.name,0.13693686470702113
CPUCount,job.jobParameters.population.@attributes.value,0.13126480535327018
job.jobParameters.req_mgroupcount.@attributes.value,job.cluster.@attributes.name,0.1220424558686185
CPUCount,edited_radial_points.0,0.12073455866729413
job.jobParameters.demes.@attributes.value,job.jobParameters.bucket_fixed.@attributes.ytype,0.10129313701451564
edited_radial_points.0,job.jobParameters.bucket_fixed.@attributes.ytype,0.10063451365780876
CPUCount,job.jobParameters.bucket_fixed.@attributes.ytype,0.09679596573751105
job.jobParameters.population.@attributes.value,job.jobParameters.bucket_fixed.@attributes.ytype,0.07600820887591508
job.cluster.@attributes.name,job.jobParameters.bucket_fixed.@attributes.ytype,0.06309901770915283
job.jobParameters.req_mgroupcount.@attributes.value,job.jobParameters.demes.@attributes.value,0.04601461360179836
CPUCount,job.cluster.@attributes.name,0.03525383322447676
job.jobParameters.population.@attributes.value,job.cluster.@attributes.name,0.033660091796230085
edited_radial_points.0,job.cluster.@attributes.name,0.03105077472544469
edited_radial_points.0,job.jobParameters.demes.@attributes.value,0.02381760034452604
CPUCount,job.jobParameters.demes.@attributes.value,0.011562605864070385
