feature,coefficient
CPUCount,15754.020995291521
job.jobParameters.mc_iterations.@attributes.value,8849.97132286144
max_rss,8364.813720894525
job.jobParameters.req_mgroupcount.@attributes.value,5158.341290959219
edited_scans.0,5153.6384095914045
edited_radial_points.0,2444.4743472023665
job.jobParameters.population.@attributes.value,1213.094810296464
job.jobParameters.demes.@attributes.value,1103.2121335639608
job.cluster.@attributes.name,679.6715430793464
job.jobParameters.bucket_fixed.@attributes.ytype,416.40661565850206
wallTime,374.2164710947893
job.jobParameters.p_mutate_k.@attributes.value,215.80110140887658
job.jobParameters.bucket_fixed.@attributes.fixedtype,108.74950426812855
simpoints.0,101.26316749899962
job.jobParameters.migration.@attributes.value,24.845113136373
job.jobParameters.k_grid.@attributes.value,0.0
job.jobParameters.generations.@attributes.value,0.0
job.jobParameters.conc_threshold.@attributes.value,0.0
job.jobParameters.mutate_sigma.@attributes.value,0.0
job.jobParameters.p_mutate_s.@attributes.value,0.0
job.jobParameters.p_mutate_sk.@attributes.value,0.0
job.jobParameters.plague.@attributes.value,0.0
job.jobParameters.bucket_fixed.@attributes.xtype,0.0
job.jobParameters.regularization.@attributes.value,0.0
job.jobParameters.bucket_fixed.@attributes.value,0.0
job.jobParameters.s_grid.@attributes.value,0.0
job.jobParameters.seed.@attributes.value,0.0
