feature1,feature2,interaction_score
job.jobParameters.y_max.@attributes.value,job.jobParameters.x_min.@attributes.value,0.3767252035689794
max_rss,job.jobParameters.y_max.@attributes.value,0.32309082150356144
job.jobParameters.curves_points.@attributes.value,job.jobParameters.y_max.@attributes.value,0.31890527016275055
CPUCount,job.jobParameters.thr_deltr_ratio.@attributes.value,0.3146148286851387
CPUCount,simpoints.0,0.3002634520588603
job.jobParameters.y_max.@attributes.value,job.jobParameters.x_max.@attributes.value,0.28496766842279275
CPUCount,job.jobParameters.z_value.@attributes.value,0.254229039288267
max_rss,job.jobParameters.x_max.@attributes.value,0.25068763119020077
simpoints.0,job.jobParameters.y_max.@attributes.value,0.247472130023514
job.jobParameters.curves_points.@attributes.value,CPUCount,0.24708091668155424
job.jobParameters.thr_deltr_ratio.@attributes.value,job.jobParameters.y_max.@attributes.value,0.2457714643295583
job.jobParameters.x_min.@attributes.value,job.jobParameters.x_max.@attributes.value,0.20304773940914791
job.jobParameters.curves_points.@attributes.value,job.jobParameters.x_min.@attributes.value,0.19517657749142592
job.jobParameters.curves_points.@attributes.value,simpoints.0,0.18050435598666914
simpoints.0,job.jobParameters.x_min.@attributes.value,0.17825685870638347
max_rss,job.jobParameters.x_min.@attributes.value,0.1718509212306617
job.jobParameters.thr_deltr_ratio.@attributes.value,job.jobParameters.x_min.@attributes.value,0.16949593469761462
job.jobParameters.curves_points.@attributes.value,job.jobParameters.x_max.@attributes.value,0.15307479922664965
job.jobParameters.curves_points.@attributes.value,max_rss,0.14527282997242802
job.jobParameters.curves_points.@attributes.value,job.jobParameters.thr_deltr_ratio.@attributes.value,0.14350275772284046
max_rss,simpoints.0,0.1407366068665879
simpoints.0,job.jobParameters.x_max.@attributes.value,0.13736755351542107
max_rss,job.jobParameters.y_min.@attributes.value,0.12923454984753066
job.jobParameters.y_min.@attributes.value,job.jobParameters.y_max.@attributes.value,0.12794962373310262
job.jobParameters.thr_deltr_ratio.@attributes.value,max_rss,0.1262522283307786
job.jobParameters.thr_deltr_ratio.@attributes.value,job.jobParameters.x_max.@attributes.value,0.12414255409110284
job.jobParameters.y_min.@attributes.value,job.jobParameters.x_max.@attributes.value,0.109442069753733
job.jobParameters.thr_deltr_ratio.@attributes.value,job.jobParameters.z_value.@attributes.value,0.10573931700920967
simpoints.0,job.jobParameters.z_value.@attributes.value,0.10410382754336525
job.jobParameters.z_value.@attributes.value,job.jobParameters.y_min.@attributes.value,0.09417848046682643
job.jobParameters.y_min.@attributes.value,job.jobParameters.x_min.@attributes.value,0.0858565039155495
CPUCount,job.jobParameters.x_max.@attributes.value,0.08482511353402654
job.jobParameters.curves_points.@attributes.value,job.jobParameters.y_min.@attributes.value,0.07946603653409952
simpoints.0,job.jobParameters.y_min.@attributes.value,0.06733788522147356
job.jobParameters.thr_deltr_ratio.@attributes.value,simpoints.0,0.06676118484698312
job.jobParameters.curves_points.@attributes.value,job.jobParameters.z_value.@attributes.value,0.06558275399259446
CPUCount,job.jobParameters.y_min.@attributes.value,0.062387488774453895
job.jobParameters.thr_deltr_ratio.@attributes.value,job.jobParameters.y_min.@attributes.value,0.05324012501686383
CPUCount,job.jobParameters.y_max.@attributes.value,0.05000333445832071
job.jobParameters.z_value.@attributes.value,job.jobParameters.x_max.@attributes.value,0.049044866540109686
job.jobParameters.z_value.@attributes.value,job.jobParameters.y_max.@attributes.value,0.04844021574183732
CPUCount,max_rss,0.0440194194472082
job.jobParameters.z_value.@attributes.value,job.jobParameters.x_min.@attributes.value,0.0326597444085025
CPUCount,job.jobParameters.x_min.@attributes.value,0.020867605867233532
max_rss,job.jobParameters.z_value.@attributes.value,0.0029336245092349863
